studentId,name,subject,marks
2023074,Khaled Ibrahim,Math,80
2023075,Khaled Ibrahim,Math,91
2023076,Mona Ibrahim,Math,67
2023077,Hassan Nasser,Math,58
2023078,Omar Khaled,Math,75
2023079,Khaled Khaled,Math,70
2023080,Omar Mohamed,Math,100
2023081,Omar Nasser,Math,82
2023082,Khaled Gamal,Math,83
2023083,Khaled Fathy,Math,58
2023084,Yara Fathy,Math,89
2023085,Ahmed Eid,Math,87
2023086,Nour Salem,Math,48
2023087,Fatma Khaled,Math,71
2023088,Khaled Nasser,Math,60
2023089,Nour Mohamed,Math,76
2023090,Khaled Mohamed,Math,67
2023091,Hassan Gamal,Math,93
2023092,Ahmed Nasser,Math,86
2023093,Ali Gamal,Math,77
2023094,Khaled Eid,Math,91
2023095,Nour Ali,Math,87
2023096,Nour Ali,Math,100
2023097,Fatma Fathy,Math,100
2023098,Nour Gamal,Math,79
2023099,Ali Nasser,Math,98
2023100,Ali Mohamed,Math,41
2023101,,Math,-10
2023102,Nour Khaled,Math,100
2023103,Omar Mohamed,Math,86
2023104,Ali Hassan,Math,79
2023105,Ahmed Hassan,Math,88
2023106,Hassan Mohamed,Math,75
2023107,Sara Salem,Math,76
2023108,Fatma Salem,Math,86
2023109,Ahmed Eid,Math,87
2023110,Ali Ibrahim,Math,78
2023111,Khaled Fathy,Math,68
2023112,Mona Eid,Math,65
2023113,Ahmed Khaled,Math,91
2023114,Yara Khaled,Math,63
2023115,Khaled Khaled,Math,75
2023116,Fatma Fathy,Math,90
2023117,Nour Ali,Math,100
2023118,Ahmed Nasser,Math,75
2023119,Sara Fathy,Math,84
2023120,Nour Hassan,Math,85
2023121,Mona Khaled,Math,76
2023122,Yara Eid,Math,97
2023123,Fatma Ali,Math,46
2023124,Omar Salem,Math,74
2023125,Ali Hassan,Math,75
2023126,Khaled Gamal,Math,90
2023127,Hassan Fathy,Math,85
2023128,Khaled Ibrahim,Math,96
2023129,Ali Gamal,Math,99
2023130,Sara Gamal,Math,67
2023131,Yara Ali,Math,100
2023132,Omar Nasser,Math,64
2023133,Omar Ali,Math,87
2023134,Khaled Gamal,Math,70
2023135,Nour Fathy,Math,100
2023136,Omar Eid,Math,99
2023137,Nour Gamal,Math,78
2023138,Fatma Eid,Math,83
2023139,Khaled Eid,Math,82
2023140,Fatma Khaled,Math,89
2023141,Ali Ali,Math,61
2023142,Mona Gamal,Math,66
2023143,Sara Ibrahim,Math,95
2023144,Omar Mohamed,Math,89
2023145,Fatma Ali,Math,100
2023146,Hassan Ibrahim,Math,83
2023147,Omar Salem,Math,100
2023148,Fatma Khaled,Math,100
2023149,Sara Khaled,Math,83
2023150,Fatma Fathy,Math,73
2023151,,Math,110
2023152,Fatma Ibrahim,Math,76
2023153,Khaled Fathy,Math,87
2023154,Ahmed Fathy,Math,87
2023155,Mona Khaled,Math,100
2023156,Mona Fathy,Math,93
2023157,Sara Gamal,Math,78
2023158,Ali Hassan,Math,70
2023159,Yara Ali,Math,88
2023160,Ahmed Hassan,Math,64
2023161,Mona Nasser,Math,100
2023162,Ali Gamal,Math,70
2023163,Nour Ibrahim,Math,63
2023164,Ahmed Ibrahim,Math,59
2023165,Nour Khaled,Math,62
2023166,Fatma Mohamed,Math,99
2023167,Mona Hassan,Math,69
2023168,Ahmed Eid,Math,81
2023169,Ali Fathy,Math,87
2023170,Omar Fathy,Math,85
2023171,Hassan Hassan,Math,100
2023172,Mona Hassan,Math,81
2023173,Yara Khaled,Math,70
2023174,Sara Hassan,Math,59
2023175,Fatma Hassan,Math,46
2023176,Hassan Ibrahim,Math,69
2023177,Hassan Gamal,Math,96
2023178,Hassan Salem,Math,66
2023179,Sara Gamal,Math,73
2023180,Yara Ali,Math,93
2023181,Khaled Mohamed,Math,62
2023182,Ali Khaled,Math,99
2023183,Yara Fathy,Math,74
2023184,Omar Mohamed,Math,89
2023185,Omar Ali,Math,80
2023186,Sara Gamal,Math,90
2023187,Sara Mohamed,Math,89
2023188,Mona Khaled,Math,91
2023189,Khaled Ibrahim,Math,81
2023190,Ali Hassan,Math,65
2023191,Yara Gamal,Math,90
2023192,Yara Hassan,Math,100
2023193,Fatma Eid,Math,59
2023194,Fatma Mohamed,Math,77
2023195,Nour Fathy,Math,63
2023196,Mona Gamal,Math,68
2023197,Mona Eid,Math,67
2023198,Sara Hassan,Math,80
2023199,Fatma Salem,Math,90
2023200,Fatma Salem,Math,79
2023201,,Math,-10
2023202,Fatma Gamal,Math,71
2023203,Ahmed Fathy,Math,88
2023204,Hassan Salem,Math,71
2023205,Ali Gamal,Math,92
2023206,Ahmed Ali,Math,82
2023207,Nour Mohamed,Math,100
2023208,Ahmed Eid,Math,58
2023209,Mona Fathy,Math,82
2023210,Nour Fathy,Math,84
2023211,Nour Fathy,Math,92
2023212,Khaled Khaled,Math,77
2023213,Yara Salem,Math,90
2023214,Nour Salem,Math,81
2023215,Sara Nasser,Math,93
2023216,Hassan Ali,Math,72
2023217,Ali Hassan,Math,86
2023218,Omar Fathy,Math,65
2023219,Khaled Eid,Math,75
2023220,Omar Gamal,Math,90
2023221,Sara Khaled,Math,64
2023222,Yara Khaled,Math,36
2023223,Yara Eid,Math,94
2023224,Ahmed Eid,Math,71
2023225,Sara Salem,Math,88
2023226,Hassan Ali,Math,96
2023227,Fatma Khaled,Math,73
2023228,Yara Fathy,Math,61
2023229,Nour Khaled,Math,85
2023230,Sara Eid,Math,68
2023231,Hassan Khaled,Math,93
2023232,Ahmed Eid,Math,53
2023233,Omar Khaled,Math,72
2023234,Ali Fathy,Math,47
2023235,Nour Salem,Math,84
2023236,Sara Gamal,Math,76
2023237,Nour Ali,Math,82
2023238,Yara Khaled,Math,76
2023239,Omar Ibrahim,Math,60
2023240,Sara Ibrahim,Math,83
2023241,Mona Mohamed,Math,74
2023242,Nour Ali,Math,89
2023243,Yara Ali,Math,92
2023244,Ali Nasser,Math,99
2023245,Fatma Nasser,Math,62
2023246,Mona Salem,Math,96
2023247,Yara Ibrahim,Math,82
2023248,Khaled Eid,Math,78
2023249,Ali Mohamed,Math,67
2023250,Khaled Nasser,Math,67
2023251,,Math,90
2023252,Sara Khaled,Math,100
2023253,Ahmed Ali,Math,100
2023254,Mona Salem,Math,100
2023255,Ahmed Ali,Math,52
2023256,Hassan Ali,Math,77
2023257,Sara Ibrahim,Math,81
2023258,Mona Eid,Math,87
2023259,Omar Ali,Math,91
2023260,Ahmed Salem,Math,77
2023261,Sara Salem,Math,70
2023262,Ali Khaled,Math,100
2023263,Sara Gamal,Math,91
2023264,Ahmed Eid,Math,85
2023265,Yara Ibrahim,Math,85
2023266,Omar Salem,Math,49
2023267,Yara Fathy,Math,67
2023268,Ali Gamal,Math,82
2023269,Khaled Hassan,Math,72
2023270,Sara Fathy,Math,100
2023271,Yara Hassan,Math,67
2023272,Mona Gamal,Math,75
2023273,Khaled Gamal,Math,97
2023274,Hassan Khaled,Math,89
2023275,Fatma Hassan,Math,84
2023276,Yara Ali,Math,81
2023277,Yara Gamal,Math,86
2023278,Hassan Hassan,Math,66
2023279,Sara Gamal,Math,94
2023280,Fatma Fathy,Math,100
2023281,Omar Ibrahim,Math,87
2023282,Sara Khaled,Math,88
2023283,Ahmed Ibrahim,Math,91
2023284,Yara Mohamed,Math,62
2023285,Sara Gamal,Math,61
2023286,Khaled Ibrahim,Math,71
2023287,Ahmed Ali,Math,48
2023288,Mona Khaled,Math,78
2023289,Nour Gamal,Math,72
2023290,Omar Eid,Math,80
2023291,Yara Ibrahim,Math,48
2023292,Fatma Ali,Math,76
2023293,Khaled Hassan,Math,99
2023294,Hassan Fathy,Math,82
2023295,Khaled Eid,Math,100
2023296,Ahmed Hassan,Math,58
2023297,Ali Nasser,Math,75
2023298,Omar Khaled,Math,73
2023299,Ali Eid,Math,95
2023300,Ahmed Ibrahim,Math,94
2023301,,Math,110
2023302,Hassan Hassan,Math,76
2023303,Nour Ali,Math,88
2023304,Khaled Ibrahim,Math,65
2023305,Omar Eid,Math,100
2023306,Khaled Gamal,Math,88
2023307,Omar Khaled,Math,92
2023308,Hassan Khaled,Math,88
2023309,Nour Ali,Math,71
2023310,Yara Eid,Math,100
2023311,Ali Nasser,Math,44
2023312,Yara Eid,Math,84
2023313,Mona Ali,Math,80
2023314,Sara Mohamed,Math,40
2023315,Ahmed Mohamed,Math,59
2023316,Fatma Salem,Math,63
2023317,Yara Gamal,Math,67
2023318,Fatma Mohamed,Math,70
2023319,Sara Khaled,Math,80
2023320,Fatma Mohamed,Math,100
2023321,Nour Fathy,Math,64
2023322,Khaled Nasser,Math,80
2023323,Ali Hassan,Math,91
2023324,Mona Ibrahim,Math,52
2023325,Hassan Eid,Math,66
2023326,Hassan Salem,Math,76
2023327,Ahmed Salem,Math,92
2023328,Hassan Salem,Math,62
2023329,Hassan Nasser,Math,81
2023330,Ali Fathy,Math,77
2023331,Ali Hassan,Math,100
2023332,Sara Khaled,Math,88
2023333,Khaled Mohamed,Math,62
2023334,Yara Eid,Math,89
2023335,Mona Mohamed,Math,89
2023336,Mona Hassan,Math,80
2023337,Ali Gamal,Math,71
2023338,Ahmed Gamal,Math,77
2023339,Fatma Hassan,Math,81
2023340,Fatma Eid,Math,68
2023341,Omar Gamal,Math,55
2023342,Sara Salem,Math,77
2023343,Ali Nasser,Math,64
2023344,Hassan Nasser,Math,79
2023345,Sara Mohamed,Math,100
2023346,Ali Nasser,Math,78
2023347,Mona Eid,Math,85
2023348,Fatma Eid,Math,83
2023349,Mona Fathy,Math,79
2023350,Sara Fathy,Math,78
2023351,,Math,63
2023352,Mona Ali,Math,72
2023353,Fatma Khaled,Math,78
2023354,Omar Ali,Math,86
2023355,Fatma Khaled,Math,76
2023356,Mona Eid,Math,57
2023357,Mona Eid,Math,68
2023358,Nour Salem,Math,87
2023359,Yara Salem,Math,75
2023360,Hassan Gamal,Math,67
2023361,Mona Nasser,Math,93
2023362,Ali Khaled,Math,93
2023363,Ali Salem,Math,68
2023364,Mona Nasser,Math,73
2023365,Sara Gamal,Math,86
2023366,Ahmed Fathy,Math,69
2023367,Sara Khaled,Math,52
2023368,Sara Fathy,Math,100
2023369,Hassan Hassan,Math,82
2023370,Khaled Hassan,Math,71
2023371,Sara Salem,Math,81
2023372,Fatma Mohamed,Math,100
2023373,Fatma Eid,Math,80
2023374,Omar Salem,Math,98
2023375,Nour Mohamed,Math,79
2023376,Mona Fathy,Math,62
2023377,Sara Ali,Math,80
2023378,Mona Nasser,Math,82
2023379,Sara Fathy,Math,89
2023380,Sara Hassan,Math,75
2023381,Ali Eid,Math,80
2023382,Mona Gamal,Math,72
2023383,Ahmed Gamal,Math,84
2023384,Ali Hassan,Math,89
2023385,Yara Nasser,Math,100
2023386,Omar Fathy,Math,90
2023387,Hassan Ali,Math,100
2023388,Nour Khaled,Math,90
2023389,Sara Gamal,Math,65
2023390,Nour Mohamed,Math,74
2023391,Fatma Salem,Math,66
2023392,Sara Ibrahim,Math,62
2023393,Yara Ali,Math,73
2023394,Fatma Nasser,Math,62
2023395,Nour Mohamed,Math,94
2023396,Fatma Gamal,Math,94
2023397,Khaled Eid,Math,59
2023398,Khaled Mohamed,Math,81
2023399,Nour Nasser,Math,81
2023400,Ali Khaled,Math,77
2023401,,Math,-10
2023402,Mona Salem,Math,100
2023403,Omar Khaled,Math,64
2023404,Sara Nasser,Math,76
2023405,Nour Ibrahim,Math,78
2023406,Omar Mohamed,Math,94
2023407,Khaled Khaled,Math,78
2023408,Omar Gamal,Math,98
2023409,Ali Mohamed,Math,58
2023410,Sara Mohamed,Math,91
2023411,Ali Mohamed,Math,75
2023412,Ali Nasser,Math,66
2023413,Yara Khaled,Math,69
2023414,Ahmed Hassan,Math,70
2023415,Sara Salem,Math,93
2023416,Yara Nasser,Math,60
2023417,Nour Salem,Math,84
2023418,Hassan Eid,Math,80
2023419,Yara Gamal,Math,67
2023420,Hassan Eid,Math,100
2023421,Yara Nasser,Math,68
2023422,Ahmed Ali,Math,78
2023423,Sara Ibrahim,Math,100
2023424,Omar Mohamed,Math,77
2023425,Khaled Eid,Math,77
2023426,Hassan Mohamed,Math,80
2023427,Yara Eid,Math,94
2023428,Sara Ibrahim,Math,84
2023429,Ali Ibrahim,Math,75
2023430,Omar Fathy,Math,84
2023431,Khaled Nasser,Math,66
2023432,Yara Gamal,Math,67
2023433,Omar Ali,Math,83
2023434,Nour Salem,Math,64
2023435,Sara Fathy,Math,100
2023436,Fatma Ali,Math,76
2023437,Sara Hassan,Math,92
2023438,Fatma Mohamed,Math,66
2023439,Nour Ibrahim,Math,85
2023440,Khaled Nasser,Math,91
2023441,Yara Eid,Math,83
2023442,Omar Hassan,Math,64
2023443,Yara Khaled,Math,95
2023444,Ali Hassan,Math,72
2023445,Yara Hassan,Math,77
2023446,Ahmed Fathy,Math,93
2023447,Ahmed Hassan,Math,96
2023448,Hassan Fathy,Math,83
2023449,Hassan Hassan,Math,97
2023450,Mona Mohamed,Math,67
2023451,,Math,110
2023452,Yara Salem,Math,68
2023453,Khaled Gamal,Math,76
2023454,Omar Mohamed,Math,88
2023455,Ahmed Mohamed,Math,97
2023456,Yara Hassan,Math,73
2023457,Omar Ali,Math,60
2023458,Nour Hassan,Math,69
2023459,Mona Salem,Math,85
2023460,Sara Khaled,Math,77
2023461,Ali Salem,Math,96
2023462,Nour Ali,Math,83
2023463,Khaled Mohamed,Math,85
2023464,Ali Eid,Math,90
2023465,Ali Nasser,Math,78
2023466,Fatma Mohamed,Math,73
2023467,Khaled Eid,Math,74
2023468,Mona Hassan,Math,73
2023469,Ahmed Hassan,Math,69
2023470,Ali Mohamed,Math,100
2023471,Khaled Salem,Math,91
2023472,Omar Eid,Math,92
2023473,Khaled Eid,Math,99
2023474,Nour Fathy,Math,63
2023475,Ali Ali,Math,70
2023476,Nour Ibrahim,Math,84
2023477,Fatma Gamal,Math,76
2023478,Sara Hassan,Math,45
2023479,Ahmed Ali,Math,73
2023480,Ali Gamal,Math,90
2023481,Sara Mohamed,Math,68
2023482,Nour Eid,Math,70
2023483,Ahmed Ali,Math,100
2023484,Omar Ali,Math,64
2023485,Fatma Nasser,Math,93
2023486,Mona Hassan,Math,56
2023487,Yara Mohamed,Math,100
2023488,Mona Khaled,Math,100
2023489,Nour Mohamed,Math,67
2023490,Ali Eid,Math,54
2023491,Mona Salem,Math,68
2023492,Ali Gamal,Math,69
2023493,Sara Salem,Math,81
2023494,Fatma Khaled,Math,100
2023495,Fatma Khaled,Math,71
2023496,Omar Fathy,Math,83
2023497,Yara Eid,Math,68
2023498,Sara Ali,Math,68
2023499,Yara Ali,Math,93
2023500,Hassan Salem,Math,96
2023501,,Math,-10
2023502,Ali Hassan,Math,69
2023503,Ali Salem,Math,89
2023504,Yara Khaled,Math,61
2023505,Khaled Salem,Math,89
2023506,Sara Fathy,Math,94
2023507,Khaled Khaled,Math,67
2023508,Ahmed Ibrahim,Math,88
2023509,Omar Ali,Math,78
2023510,Ahmed Salem,Math,88
2023511,Yara Hassan,Math,73
2023512,Yara Nasser,Math,73
2023513,Omar Ali,Math,83
2023514,Sara Gamal,Math,54
2023515,Yara Fathy,Math,86
2023516,Ahmed Ali,Math,100
2023517,Yara Gamal,Math,52
2023518,Omar Hassan,Math,87
2023519,Omar Eid,Math,83
2023520,Ahmed Hassan,Math,73
2023521,Sara Fathy,Math,88
2023522,Khaled Gamal,Math,59
2023523,Fatma Khaled,Math,85
2023524,Omar Fathy,Math,86
2023525,Mona Gamal,Math,59
2023526,Omar Fathy,Math,49
2023527,Ahmed Gamal,Math,93
2023528,Khaled Gamal,Math,81
2023529,Hassan Ali,Math,86
2023530,Mona Ali,Math,76
2023531,Nour Fathy,Math,100
2023532,Fatma Khaled,Math,71
2023533,Ahmed Ibrahim,Math,61
2023534,Ahmed Khaled,Math,70
2023535,Khaled Mohamed,Math,100
2023536,Mona Salem,Math,77
2023537,Hassan Mohamed,Math,100
2023538,Ali Ali,Math,66
2023539,Khaled Fathy,Math,89
2023540,Omar Nasser,Math,76
2023541,Khaled Ibrahim,Math,100
2023542,Omar Nasser,Math,65
2023543,Sara Ibrahim,Math,71
2023544,Khaled Hassan,Math,67
2023545,Sara Ibrahim,Math,93
2023546,Ahmed Fathy,Math,100
2023547,Sara Hassan,Math,76
2023548,Ahmed Mohamed,Math,82
2023549,Khaled Mohamed,Math,78
2023550,Omar Fathy,Math,99
2023551,,Math,81
2023552,Fatma Gamal,Math,64
2023553,Hassan Hassan,Math,70
2023554,Ali Hassan,Math,70
2023555,Omar Ali,Math,49
2023556,Fatma Khaled,Math,100
2023557,Fatma Eid,Math,85
2023558,Yara Ibrahim,Math,92
2023559,Ali Ali,Math,60
2023560,Sara Nasser,Math,78
2023561,Omar Nasser,Math,89
2023562,Yara Salem,Math,87
2023563,Ali Mohamed,Math,64
2023564,Nour Salem,Math,76
2023565,Yara Mohamed,Math,79
2023566,Khaled Nasser,Math,65
2023567,Khaled Nasser,Math,65
2023568,Sara Salem,Math,90
2023569,Mona Mohamed,Math,85
2023570,Fatma Eid,Math,93
2023571,Yara Mohamed,Math,78
2023572,Omar Mohamed,Math,79
2023573,Nour Khaled,Math,82
2023574,Ali Salem,Math,85
2023575,Ali Hassan,Math,100
2023576,Fatma Mohamed,Math,70
2023577,Fatma Gamal,Math,94
2023578,Yara Fathy,Math,66
2023579,Yara Nasser,Math,90
2023580,Khaled Nasser,Math,89
2023581,Ali Fathy,Math,92
2023582,Fatma Ibrahim,Math,100
2023583,Fatma Eid,Math,97
2023584,Khaled Salem,Math,88
2023585,Ali Mohamed,Math,94
2023586,Mona Gamal,Math,87
2023587,Ahmed Nasser,Math,63
2023588,Khaled Mohamed,Math,82
2023589,Ali Khaled,Math,86
2023590,Mona Nasser,Math,66
2023591,Mona Eid,Math,85
2023592,Ali Mohamed,Math,97
2023593,Yara Fathy,Math,65
2023594,Ali Eid,Math,53
2023595,Fatma Eid,Math,82
2023596,Ahmed Mohamed,Math,100
2023597,Nour Nasser,Math,89
2023598,Ali Eid,Math,60
2023599,Sara Ali,Math,62
2023600,Yara Mohamed,Math,78
2023601,,Math,110
2023602,Fatma Mohamed,Math,61
2023603,Khaled Mohamed,Math,87
2023604,Yara Gamal,Math,77
2023605,Hassan Ibrahim,Math,91
2023606,Ali Mohamed,Math,66
2023607,Ahmed Salem,Math,76
2023608,Ahmed Eid,Math,76
2023609,Khaled Hassan,Math,71
2023610,Sara Ali,Math,93
2023611,Ahmed Fathy,Math,94
2023612,Mona Fathy,Math,93
2023613,Hassan Ali,Math,90
2023614,Hassan Gamal,Math,81
2023615,Ahmed Ibrahim,Math,79
2023616,Sara Hassan,Math,96
2023617,Omar Ibrahim,Math,50
2023618,Omar Mohamed,Math,77
2023619,Mona Eid,Math,73
2023620,Omar Mohamed,Math,65
2023621,Yara Hassan,Math,81
2023622,Mona Fathy,Math,87
2023623,Ahmed Nasser,Math,63
2023624,Nour Gamal,Math,90
2023625,Ahmed Hassan,Math,70
2023626,Khaled Hassan,Math,85
2023627,Hassan Fathy,Math,86
2023628,Sara Khaled,Math,77
2023629,Ahmed Ibrahim,Math,84
2023630,Khaled Nasser,Math,88
2023631,Sara Gamal,Math,100
2023632,Mona Ibrahim,Math,82
2023633,Khaled Mohamed,Math,100
2023634,Yara Mohamed,Math,59
2023635,Sara Ibrahim,Math,96
2023636,Sara Ali,Math,85
2023637,Ahmed Khaled,Math,70
2023638,Ahmed Gamal,Math,59
2023639,Nour Ali,Math,79
2023640,Mona Ali,Math,84
2023641,Mona Gamal,Math,98
2023642,Hassan Khaled,Math,78
2023643,Omar Fathy,Math,96
2023644,Hassan Nasser,Math,64
2023645,Mona Khaled,Math,75
2023646,Ahmed Salem,Math,78
2023647,Yara Ibrahim,Math,84
2023648,Ahmed Gamal,Math,90
2023649,Ahmed Fathy,Math,81
2023650,Khaled Fathy,Math,77
2023651,,Math,100
2023652,Sara Nasser,Math,85
2023653,Omar Gamal,Math,78
2023654,Sara Hassan,Math,84
2023655,Ahmed Ali,Math,78
2023656,Sara Eid,Math,99
2023657,Hassan Gamal,Math,83
2023658,Hassan Nasser,Math,91
2023659,Nour Salem,Math,93
2023660,Fatma Nasser,Math,81
2023661,Mona Nasser,Math,92
2023662,Fatma Eid,Math,72
2023663,Nour Fathy,Math,87
2023664,Sara Hassan,Math,87
2023665,Omar Nasser,Math,50
2023666,Mona Eid,Math,64
2023667,Ali Fathy,Math,85
2023668,Sara Hassan,Math,97
2023669,Hassan Mohamed,Math,79
2023670,Nour Hassan,Math,85
2023671,Khaled Hassan,Math,53
2023672,Hassan Mohamed,Math,61
2023673,Ahmed Eid,Math,97
2023674,Mona Hassan,Math,76
2023675,Ahmed Ibrahim,Math,68
2023676,Fatma Fathy,Math,82
2023677,Ali Nasser,Math,97
2023678,Ali Mohamed,Math,77
2023679,Hassan Hassan,Math,71
2023680,Sara Salem,Math,78
2023681,Nour Hassan,Math,44
2023682,Omar Eid,Math,65
2023683,Hassan Salem,Math,66
2023684,Hassan Khaled,Math,74
2023685,Omar Ali,Math,58
2023686,Yara Ibrahim,Math,71
2023687,Yara Hassan,Math,74
2023688,Nour Hassan,Math,84
2023689,Fatma Ali,Math,79
2023690,Omar Salem,Math,90
2023691,Fatma Ali,Math,73
2023692,Khaled Ali,Math,60
2023693,Hassan Hassan,Math,77
2023694,Nour Salem,Math,53
2023695,Ali Eid,Math,97
2023696,Mona Gamal,Math,100
2023697,Yara Hassan,Math,86
2023698,Mona Ali,Math,72
2023699,Omar Ali,Math,64
2023700,Mona Salem,Math,83
2023701,,Math,-10
2023702,Ahmed Khaled,Math,72
2023703,Khaled Hassan,Math,97
2023704,Khaled Fathy,Math,84
2023705,Yara Gamal,Math,88
2023706,Ali Fathy,Math,65
2023707,Ahmed Khaled,Math,56
2023708,Omar Salem,Math,100
2023709,Ahmed Salem,Math,73
2023710,Nour Mohamed,Math,55
2023711,Khaled Ali,Math,98
2023712,Ahmed Ibrahim,Math,60
2023713,Khaled Hassan,Math,97
2023714,Fatma Khaled,Math,97
2023715,Sara Ali,Math,94
2023716,Hassan Eid,Math,84
2023717,Mona Mohamed,Math,81
2023718,Sara Eid,Math,84
2023719,Mona Gamal,Math,58
2023720,Khaled Mohamed,Math,91
2023721,Yara Ibrahim,Math,68
2023722,Fatma Mohamed,Math,61
2023723,Khaled Ali,Math,44
2023724,Nour Mohamed,Math,87
2023725,Ahmed Mohamed,Math,38
2023726,Fatma Salem,Math,76
2023727,Omar Nasser,Math,99
2023728,Nour Mohamed,Math,77
2023729,Fatma Gamal,Math,81
2023730,Yara Nasser,Math,90
2023731,Hassan Ali,Math,55
2023732,Hassan Salem,Math,99
2023733,Yara Hassan,Math,85
2023734,Ali Gamal,Math,79
2023735,Sara Hassan,Math,54
2023736,Ahmed Hassan,Math,91
2023737,Omar Ali,Math,74
2023738,Yara Nasser,Math,88
2023739,Mona Ali,Math,73
2023740,Hassan Fathy,Math,100
2023741,Yara Salem,Math,88
2023742,Nour Nasser,Math,91
2023743,Ahmed Nasser,Math,90
2023744,Ahmed Khaled,Math,80
2023745,Hassan Khaled,Math,91
2023746,Sara Ali,Math,70
2023747,Khaled Hassan,Math,77
2023748,Yara Hassan,Math,76
2023749,Yara Khaled,Math,67
2023750,Yara Mohamed,Math,98
2023751,,Math,110
2023752,Sara Salem,Math,100
2023753,Nour Khaled,Math,86
2023754,Khaled Gamal,Math,100
2023755,Hassan Gamal,Math,88
2023756,Hassan Hassan,Math,74
2023757,Hassan Khaled,Math,88
2023758,Yara Salem,Math,92
2023759,Ahmed Khaled,Math,61
2023760,Nour Fathy,Math,77
2023761,Ahmed Salem,Math,79
2023762,Omar Khaled,Math,100
2023763,Khaled Gamal,Math,73
2023764,Ahmed Fathy,Math,65
2023765,Omar Mohamed,Math,67
2023766,Omar Eid,Math,66
2023767,Sara Ibrahim,Math,89
2023768,Yara Hassan,Math,96
2023769,Omar Salem,Math,87
2023770,Fatma Hassan,Math,98
2023771,Mona Nasser,Math,59
2023772,Hassan Mohamed,Math,86
2023773,Hassan Hassan,Math,75
2023774,Sara Khaled,Math,72
2023775,Fatma Eid,Math,58
2023776,Hassan Mohamed,Math,88
2023777,Ahmed Salem,Math,87
2023778,Ali Salem,Math,64
2023779,Omar Salem,Math,82
2023780,Fatma Ali,Math,75
2023781,Hassan Ibrahim,Math,78
2023782,Hassan Ibrahim,Math,77
2023783,Sara Fathy,Math,48
2023784,Sara Mohamed,Math,91
2023785,Nour Ibrahim,Math,77
2023786,Fatma Fathy,Math,71
2023787,Khaled Mohamed,Math,69
2023788,Mona Fathy,Math,69
2023789,Khaled Nasser,Math,70
2023790,Hassan Ali,Math,89
2023791,Ali Salem,Math,100
2023792,Hassan Eid,Math,88
2023793,Fatma Khaled,Math,73
2023794,Mona Ali,Math,100
2023795,Hassan Mohamed,Math,71
2023796,Nour Nasser,Math,84
2023797,Nour Mohamed,Math,83
2023798,Yara Gamal,Math,83
2023799,Hassan Salem,Math,94
2023800,Fatma Nasser,Math,80
2023801,,Math,-10
2023802,Hassan Ali,Math,99
2023803,Ali Ali,Math,86
2023804,Ali Salem,Math,87
2023805,Ali Mohamed,Math,96
2023806,Sara Eid,Math,95
2023807,Sara Ali,Math,97
